zone,n_events,time_min,time_max,mag_unified_min,mag_unified_max,depth_min_km,depth_max_km
Z1,3123,2007-11-10 23:20:00.000,2026-09-05 09:14:15.563,4.3,8.6,0.0,126.35
Z2,1589,2007-10-01 14:03:00.000,2026-09-09 00:23:19.728,3.879,6.9,0.0,365.24
Z3,5277,2012-01-01 08:59:52.110,2026-09-08 21:42:22.442,3.92,7.8,1.0,652.53
Z4,9156,2007-10-09 02:35:00.000,2026-09-10 02:00:16.000,2.7399999999999998,7.7,0.0,364.0
Z5,8656,2007-01-04 08:38:00.000,2026-09-10 01:23:18.000,2.472,6.559000000000001,0.0,168.0
Z6,13435,2012-01-04 06:59:56.950,2026-09-09 07:07:03.319,3.7,7.8,1.0,639.503
Z7,16460,2012-01-01 01:22:07.660,2026-09-11 00:53:48.954,3.92,7.6,1.0,673.06
Unclassified,4810,2008-03-02 18:26:00.000,2026-09-02 00:04:55.294,3.9,7.8,0.0,686.39
