zone_code,n_events,mag_min,mag_max,depth_median_km,time_min,time_max,mc,b_value,b_value_std,n_events_ge_mc
Z1,9156,1.0,7.7,10.0,2007-10-09 02:35:00.000,2026-09-10 02:00:16.000,4.3000000000000025,1.1475388553259043,0.022706853243328346,2554.0
Z2,4296,3.4,8.6,29.8,2007-11-10 23:20:00.000,2026-09-07 02:48:35.539,4.300000000000001,1.0560959991902372,0.01830952159822544,3327.0
Z3,11645,0.6,7.1,4.0,2007-01-04 08:38:00.000,2026-09-10 01:23:18.000,2.3999999999999995,0.332266617628029,0.003714853718351014,8000.0
Z4,13429,2.6,7.8,35.0,2012-01-04 06:59:56.950,2026-09-09 07:07:03.319,4.300000000000002,1.1257499332768097,0.010675532235618781,11120.0
Z5,9209,3.4,7.5,48.952,2012-01-01 21:07:24.670,2026-09-11 00:53:48.954,4.200000000000001,1.0703069453938412,0.01207556906730163,7856.0
Z6,8940,3.4,7.8,121.832,2012-01-01 01:22:07.660,2026-09-10 18:44:40.243,4.200000000000001,1.1733217366627315,0.013795195647924231,7234.0
Z7,3171,3.5,7.0,26.15,2012-01-01 03:24:43.920,2026-09-02 00:04:55.294,4.4,1.162019884206967,0.026341599456334682,1946.0
Unclassified,2660,2.77,7.8,10.0,2008-03-02 18:26:00.000,2026-08-28 10:11:33.232,,,,
